customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_total,segment
12844,5617,2,322.64,2,2,2,222,6,Need Attention
12846,5857,1,15.58,1,1,1,111,3,Hibernating
12847,5562,1,659.36,4,1,3,413,8,Recent Customers
12848,5850,1,208.0,1,1,2,112,4,Hibernating
12849,5556,4,1573.3,4,4,5,445,13,Champions
12851,5652,1,148.95,2,1,1,211,4,About to Sleep
12853,5602,5,1462.2,3,4,4,344,11,Loyal Customers
12854,5736,4,1538.42,1,4,4,144,9,Loyal Customers
12855,5547,4,447.84,5,4,3,543,12,Loyal Customers
12857,5611,4,1664.95,2,4,5,245,11,Loyal Customers
12858,5558,1,147.27,4,1,1,411,6,Recent Customers
12859,5633,1,516.6,2,1,3,213,6,About to Sleep
12860,5868,1,54.22,1,1,1,111,3,Hibernating
12861,5794,1,68.25,1,1,1,111,3,Hibernating
12862,5600,2,943.82,3,2,4,324,9,Need Attention
12863,5554,5,603.65,5,4,3,543,12,Loyal Customers
12864,5683,1,0.95,2,1,1,211,4,About to Sleep
12865,5553,2,1708.68,5,2,5,525,12,Potential Loyalists
12866,5649,2,668.23,2,2,3,223,7,Need Attention
12867,5572,6,3819.92,4,4,5,445,13,Champions
12868,5548,3,640.0,5,3,3,533,11,Potential Loyalists
12869,5856,1,256.07,1,1,2,112,4,Hibernating
12870,5550,3,1450.19,5,3,4,534,12,Potential Loyalists
12871,5614,1,139.7,2,1,1,211,4,About to Sleep
12872,5540,11,2824.72,5,5,5,555,15,Champions
12873,5572,2,421.6,4,2,3,423,9,Potential Loyalists
12874,5560,2,908.1,4,2,4,424,10,Potential Loyalists
12876,5569,2,1189.01,4,2,4,424,10,Potential Loyalists
12877,5576,8,1268.75,3,5,4,354,12,Loyal Customers
12880,5556,2,613.73,4,2,3,423,9,Potential Loyalists
12887,5558,1,222.4,4,1,2,412,7,Recent Customers
12889,5556,4,385.46,4,4,2,442,10,Promising
12890,5562,1,329.3,4,1,2,412,7,Recent Customers
12892,5571,1,263.38,4,1,2,412,7,Recent Customers
12894,5750,1,157.35,1,1,1,111,3,Hibernating
12897,5556,2,239.75,4,2,2,422,8,Potential Loyalists
12898,5834,1,143.57,1,1,1,111,3,Hibernating
12899,5588,1,281.65,3,1,2,312,6,Promising
12900,5597,1,280.93,3,1,2,312,6,Promising
12903,5603,1,833.53,3,1,4,314,8,Lost
12905,5751,2,984.34,1,2,4,124,7,Lost
12907,5570,2,442.91,4,2,3,423,9,Potential Loyalists
12909,5599,3,882.76,3,3,4,334,10,Need Attention
12910,5554,5,1206.9,5,4,4,544,13,Champions
12911,5726,1,1417.34,1,1,4,114,6,Hibernating
12913,5543,7,519.19,5,5,3,553,13,Loyal Customers
12914,5575,1,81.06,4,1,1,411,6,Recent Customers
12915,5547,3,811.1,5,3,4,534,12,Potential Loyalists
12916,5617,3,1117.9,2,3,4,234,9,Need Attention
12917,5575,4,455.6,4,4,3,443,11,Loyal Customers
12920,5746,3,323.86,1,3,2,132,6,Lost
12921,5541,39,16089.57,5,5,5,555,15,Champions
12923,5565,2,416.1,4,2,3,423,9,Potential Loyalists
12924,5568,8,670.62,4,5,3,453,12,Loyal Customers
12925,5767,1,25.2,1,1,1,111,3,Hibernating
12926,5586,4,1523.97,3,4,4,344,11,Loyal Customers
12927,5569,1,197.31,4,1,1,411,6,Recent Customers
12928,5553,7,1753.25,5,5,5,555,15,Champions
12931,5724,7,362.84,1,5,2,152,8,Lost
12932,5714,8,1309.28,2,5,4,254,11,Loyal Customers
12933,5555,5,1029.1,4,4,4,444,12,Champions
12935,5550,8,2012.36,5,5,5,555,15,Champions
12937,5638,5,1348.54,2,4,4,244,10,Loyal Customers
12941,5899,1,318.45,1,1,2,112,4,Hibernating
12942,5540,1,258.75,5,1,2,512,8,Recent Customers
12943,5733,2,417.3,1,2,3,123,6,Lost
12945,5831,1,437.16,1,1,3,113,5,Hibernating
12946,5611,1,324.45,2,1,2,212,5,About to Sleep
12947,5548,1,304.04,5,1,2,512,8,Recent Customers
12948,5905,2,216.0,1,2,2,122,5,Lost
12949,5557,14,10775.68,4,5,5,455,14,Champions
12951,5561,9,2149.65,4,5,5,455,14,Champions
12953,5697,1,498.96,2,1,3,213,6,About to Sleep
12954,5813,1,162.45,1,1,1,111,3,Hibernating
12956,5859,3,399.9,1,3,3,133,7,At Risk
12957,5716,5,4602.55,2,4,5,245,11,Loyal Customers
12958,5575,2,401.64,4,2,3,423,9,Potential Loyalists
12959,5659,1,110.15,2,1,1,211,4,About to Sleep
12960,5588,4,1119.27,3,4,4,344,11,Loyal Customers
12961,5554,1,198.07,5,1,1,511,7,Recent Customers
12963,5540,5,1696.12,5,4,5,545,14,Champions
12964,5612,1,132.24,2,1,1,211,4,About to Sleep
12967,5546,2,1047.42,5,2,4,524,11,Potential Loyalists
12969,5777,1,58.95,1,1,1,111,3,Hibernating
12970,5555,6,988.13,4,4,4,444,12,Champions
12971,5541,29,1846.78,5,5,5,555,15,Champions
12972,5588,4,1045.72,3,4,4,344,11,Loyal Customers
12973,5588,1,95.55,3,1,1,311,5,Promising
12974,5740,1,264.15,1,1,2,112,4,Hibernating
12975,5611,6,1978.77,2,4,5,245,11,Loyal Customers
12976,5553,7,1967.66,5,5,5,555,15,Champions
12977,5676,3,290.14,2,3,2,232,7,Need Attention
12978,5560,5,2238.52,4,4,5,445,13,Champions
12979,5904,1,400.7,1,1,3,113,5,Hibernating
12980,5704,2,111.6,2,2,1,221,5,About to Sleep
12982,5569,7,2344.19,4,5,5,455,14,Champions
12983,5773,1,358.08,1,1,2,112,4,Hibernating
12986,5603,10,1821.92,3,5,5,355,13,Loyal Customers
12987,5595,3,753.51,3,3,4,334,10,Need Attention
12989,5785,3,124.8,1,3,1,131,5,Lost
12990,5625,3,253.5,2,3,2,232,7,Need Attention
12991,5564,1,261.06,4,1,2,412,7,Recent Customers
12992,5900,1,93.35,1,1,1,111,3,Hibernating
12993,5620,4,804.55,2,4,4,244,10,Loyal Customers
12996,5550,1,355.5,5,1,2,512,8,Recent Customers
12997,5569,4,880.18,4,4,4,444,12,Champions
12998,5667,3,740.78,2,3,4,234,9,Need Attention
13000,5900,1,497.65,1,1,3,113,5,Hibernating
13001,5579,20,10278.72,3,5,5,355,13,Loyal Customers
13002,5591,2,293.18,3,2,2,322,7,Promising
13004,5561,18,5849.74,4,5,5,455,14,Champions
13005,5606,2,485.98,3,2,3,323,8,Need Attention
13007,5754,1,175.25,1,1,1,111,3,Hibernating
13008,5572,2,331.66,4,2,2,422,8,Potential Loyalists
13010,5549,2,288.12,5,2,2,522,9,Potential Loyalists
13011,5547,1,50.55,5,1,1,511,7,Recent Customers
13012,5604,3,1290.83,3,3,4,334,10,Need Attention
13013,5546,17,6465.23,5,5,5,555,15,Champions
13014,5607,1,1894.64,3,1,5,315,9,Lost
13015,5613,6,2714.02,2,4,5,245,11,Loyal Customers
13018,5588,7,2212.18,3,5,5,355,13,Loyal Customers
13019,5554,6,1229.95,5,4,4,544,13,Champions
13020,5737,2,618.96,1,2,3,123,6,Lost
13021,5549,8,2189.74,5,5,5,555,15,Champions
13022,5604,1,65.3,3,1,1,311,5,Promising
13023,5703,1,547.51,2,1,3,213,6,About to Sleep
13024,5645,2,555.87,2,2,3,223,7,Need Attention
13025,5906,1,233.39,1,1,2,112,4,Hibernating
13026,5663,4,616.6,2,4,3,243,9,Loyal Customers
13029,5549,2,81.0,5,2,1,521,8,Potential Loyalists
13030,5543,1,402.36,5,1,3,513,9,Recent Customers
13031,5582,5,3292.84,3,4,5,345,12,Loyal Customers
13032,5567,7,1674.98,4,5,5,455,14,Champions
13033,5604,1,30.0,3,1,1,311,5,Promising
13034,5544,2,279.91,5,2,2,522,9,Potential Loyalists
13035,5606,1,300.0,3,1,2,312,6,Promising
13036,5859,1,151.0,1,1,1,111,3,Hibernating
13037,5574,9,2947.54,4,5,5,455,14,Champions
13039,5759,4,1010.73,1,4,4,144,9,Loyal Customers
13041,5625,4,623.63,2,4,3,243,9,Loyal Customers
13042,5773,3,1457.39,1,3,4,134,8,At Risk
13044,5667,10,3601.91,2,5,5,255,12,Loyal Customers
13045,5576,2,503.64,3,2,3,323,8,Need Attention
13046,5631,1,319.94,2,1,2,212,5,About to Sleep
13047,5548,17,4556.22,5,5,5,555,15,Champions
13048,5611,5,2003.64,2,4,5,245,11,Loyal Customers
13049,5576,1,99.36,3,1,1,311,5,Promising
13050,5541,18,6218.42,5,5,5,555,15,Champions
13051,5753,1,80.8,1,1,1,111,3,Hibernating
13052,5595,6,2581.38,3,4,5,345,12,Loyal Customers
13053,5796,1,127.65,1,1,1,111,3,Hibernating
13055,5604,1,1096.62,3,1,4,314,8,Lost
13056,5726,1,188.48,1,1,1,111,3,Hibernating
13057,5705,3,445.59,2,3,3,233,8,Need Attention
13059,5588,9,2066.37,3,5,5,355,13,Loyal Customers
13063,5655,1,188.4,2,1,1,211,4,About to Sleep
13064,5725,2,436.25,1,2,3,123,6,Lost
13065,5548,5,1055.05,5,4,4,544,13,Champions
13067,5584,2,393.05,3,2,2,322,7,Promising
13069,5544,15,2949.01,5,5,5,555,15,Champions
13070,5634,3,464.4,2,3,3,233,8,Need Attention
13071,5787,1,129.22,1,1,1,111,3,Hibernating
13073,5586,2,418.08,3,2,3,323,8,Need Attention
13074,5686,3,542.8,2,3,3,233,8,Need Attention
13076,5632,1,135.4,2,1,1,211,4,About to Sleep
13077,5541,8,2095.17,5,5,5,555,15,Champions
13078,5541,31,6047.43,5,5,5,555,15,Champions
13079,5592,1,199.08,3,1,1,311,5,Promising
13080,5576,3,222.65,3,3,2,332,8,Promising
13081,5546,18,21364.36,5,5,5,555,15,Champions
13082,5599,8,630.56,3,5,3,353,11,Loyal Customers
13083,5600,1,10.08,3,1,1,311,5,Promising
13085,5854,6,1471.0,1,4,4,144,9,Loyal Customers
13086,5557,1,439.33,4,1,3,413,8,Recent Customers
13087,5901,1,313.64,1,1,2,112,4,Hibernating
13088,5592,1,236.11,3,1,2,312,6,Promising
13089,5543,85,27931.65,5,5,5,555,15,Champions
13090,5540,8,1017.21,5,5,4,554,14,Champions
13091,5904,1,289.58,1,1,2,112,4,Hibernating
13092,5589,7,1602.75,3,5,5,355,13,Loyal Customers
13093,5548,38,10778.56,5,5,5,555,15,Champions
