customer_id,total_orders,total_revenue,avg_order_value,first_purchase,last_purchase,total_transactions,lifespan_days,lifespan_months,purchase_frequency,customer_value_monthly,simple_clv,predictive_clv,clv_profit,days_since_last,churn_probability,risk_adjusted_clv,clv_bucket
12371,3,1859.42,18.23,2010-03-04 18:23:00,2010-10-26 13:37:00,102,235,7.72,0.39,7.08,30.76,85.01,25.5,44,0.19,69.09,$0-100
12373,2,603.05,17.23,2010-02-04 12:08:00,2010-03-25 13:49:00,35,49,1.61,1.24,21.41,92.97,256.89,77.07,259,1.0,0.0,$100-500
12374,2,1258.79,33.13,2010-04-30 14:01:00,2010-10-14 10:16:00,38,166,5.45,0.37,12.15,52.76,145.79,43.74,56,0.22,113.0,$100-500
12376,2,183.15,20.35,2010-10-18 08:42:00,2010-11-15 12:15:00,9,28,0.92,2.17,44.25,192.15,530.96,159.29,24,0.57,227.55,$500-1K
12377,2,1496.32,21.38,2010-04-29 15:34:00,2010-11-23 19:24:00,70,208,6.83,0.29,6.26,27.17,75.08,22.52,16,0.05,71.23,$0-100
12378,1,1373.62,17.17,2010-05-26 14:07:00,2010-05-26 14:07:00,80,1,0.03,30.44,522.66,2269.79,6271.95,1881.58,197,1.0,0.0,$5K-10K
12379,2,767.98,18.73,2010-06-23 12:49:00,2010-10-13 14:46:00,41,112,3.68,0.54,10.18,44.22,122.18,36.65,57,0.34,80.73,$100-500
12380,4,3263.52,21.9,2010-02-15 12:05:00,2010-08-31 14:54:00,149,197,6.47,0.62,13.54,58.79,162.45,48.73,100,0.68,52.5,$100-500
12385,1,1219.1,21.39,2010-11-25 15:14:00,2010-11-25 15:14:00,57,1,0.03,30.44,651.04,2827.31,7812.51,2343.75,14,1.0,0.0,$5K-10K
12386,1,144.3,24.05,2010-12-08 09:53:00,2010-12-08 09:53:00,6,1,0.03,30.44,732.08,3179.25,8784.98,2635.5,1,0.33,5856.66,$5K-10K
12387,1,143.94,15.99,2010-10-20 16:27:00,2010-10-20 16:27:00,9,1,0.03,30.44,486.84,2114.21,5842.04,1752.61,50,1.0,0.0,$5K-10K
12388,2,803.7,19.6,2010-05-06 12:54:00,2010-09-20 12:41:00,41,136,4.47,0.45,8.77,38.11,105.3,31.59,80,0.39,64.01,$100-500
12389,3,1064.18,23.13,2010-02-22 10:15:00,2010-11-02 11:52:00,46,253,8.31,0.36,8.35,36.26,100.2,30.06,37,0.15,85.55,$100-500
12391,4,1810.48,10.71,2010-02-15 10:12:00,2010-09-01 12:38:00,169,198,6.5,0.61,6.59,28.61,79.05,23.72,99,0.67,26.35,$0-100
12392,1,93.15,18.63,2010-04-27 14:04:00,2010-04-27 14:04:00,5,1,0.03,30.44,567.1,2462.76,6805.17,2041.55,226,1.0,0.0,$5K-10K
12393,2,816.85,19.0,2010-10-07 13:49:00,2010-11-22 16:10:00,43,46,1.51,1.32,25.14,109.18,301.7,90.51,17,0.25,227.37,$100-500
12395,4,1601.24,18.2,2010-04-16 10:16:00,2010-12-03 16:35:00,88,231,7.59,0.53,9.59,41.65,115.09,34.53,6,0.03,111.11,$100-500
12396,1,931.43,14.33,2010-02-03 13:22:00,2010-02-03 13:22:00,65,1,0.03,30.44,436.2,1894.29,5234.35,1570.31,309,1.0,0.0,$5K-10K
12399,3,633.09,15.07,2010-03-05 08:45:00,2010-11-19 08:53:00,42,259,8.51,0.35,5.31,23.08,63.78,19.13,20,0.08,58.85,$0-100
12400,1,205.25,18.66,2010-10-21 13:45:00,2010-10-21 13:45:00,11,1,0.03,30.44,567.98,2466.6,6815.79,2044.74,49,1.0,0.0,$5K-10K
12402,5,1031.3,17.48,2010-02-07 12:41:00,2010-11-12 09:50:00,59,277,9.1,0.55,9.6,41.71,115.25,34.58,27,0.16,96.53,$100-500
12403,1,36.0,36.0,2010-07-06 11:39:00,2010-07-06 11:39:00,1,1,0.03,30.44,1095.84,4758.96,13150.08,3945.02,156,1.0,0.0,$10K+
12406,3,1135.52,28.39,2010-01-11 14:04:00,2010-11-05 11:42:00,40,297,9.76,0.31,8.73,37.91,104.74,31.42,34,0.11,92.75,$100-500
12408,3,971.14,19.82,2010-07-29 13:27:00,2010-11-19 13:21:00,49,112,3.68,0.82,16.16,70.18,193.92,58.17,20,0.18,159.29,$100-500
12409,2,1067.96,32.36,2010-05-23 15:21:00,2010-10-15 10:24:00,33,144,4.73,0.42,13.68,59.42,164.19,49.26,55,0.25,122.38,$100-500
12410,1,240.38,18.49,2010-07-25 13:26:00,2010-07-25 13:26:00,13,1,0.03,30.44,562.86,2444.35,6754.31,2026.29,137,1.0,0.0,$5K-10K
12411,1,287.2,13.68,2010-10-26 09:25:00,2010-10-26 09:25:00,21,1,0.03,30.44,416.3,1807.9,4995.64,1498.69,44,1.0,0.0,$1K-5K
12412,3,1128.91,19.13,2010-06-18 13:22:00,2010-11-02 17:02:00,59,137,4.5,0.67,12.75,55.39,153.05,45.92,37,0.27,111.72,$100-500
12413,1,185.35,15.45,2010-11-02 13:26:00,2010-11-02 13:26:00,12,1,0.03,30.44,470.17,2041.83,5642.05,1692.62,37,1.0,0.0,$5K-10K
12414,1,130.0,16.25,2010-09-02 12:22:00,2010-09-02 12:22:00,8,1,0.03,30.44,494.65,2148.14,5935.8,1780.74,98,1.0,0.0,$5K-10K
12415,6,1636.44,19.25,2010-06-30 08:30:00,2010-11-04 10:57:00,85,127,4.17,1.44,27.69,120.24,332.24,99.67,35,0.55,149.12,$100-500
12416,1,202.56,18.41,2010-02-21 10:19:00,2010-02-21 10:19:00,11,1,0.03,30.44,560.54,2434.28,6726.47,2017.94,291,1.0,0.0,$5K-10K
12417,11,2945.15,17.12,2009-12-06 10:30:00,2010-10-25 14:27:00,172,323,10.61,1.04,17.75,77.09,213.01,63.9,45,0.51,104.2,$100-500
12418,3,850.7,14.18,2010-03-19 14:47:00,2010-10-22 10:29:00,60,216,7.1,0.42,5.99,26.03,71.93,21.58,48,0.22,55.95,$0-100
12419,2,419.01,17.46,2010-10-22 10:40:00,2010-11-19 10:04:00,24,27,0.89,2.25,39.37,170.96,472.39,141.72,20,0.49,239.11,$100-500
12421,2,291.56,14.58,2010-07-22 13:57:00,2010-10-20 14:28:00,20,90,2.96,0.68,9.86,42.82,118.33,35.5,50,0.37,74.51,$100-500
12422,11,2087.89,18.0,2009-12-18 12:44:00,2010-11-10 13:19:00,116,327,10.74,1.02,18.43,80.04,221.17,66.35,29,0.33,149.25,$100-500
12423,2,703.08,18.03,2010-08-31 09:31:00,2010-11-17 11:33:00,39,78,2.56,0.78,14.07,61.11,168.85,50.66,22,0.19,137.1,$100-500
12424,2,1152.23,21.34,2010-06-09 15:15:00,2010-10-13 10:29:00,54,125,4.11,0.49,10.39,45.13,124.71,37.41,57,0.3,86.8,$100-500
12425,1,923.89,17.43,2010-09-17 14:10:00,2010-09-17 14:10:00,53,1,0.03,30.44,530.63,2304.38,6367.52,1910.26,83,1.0,0.0,$5K-10K
12426,1,690.48,15.01,2010-02-15 08:41:00,2010-02-15 08:41:00,46,1,0.03,30.44,456.92,1984.28,5483.01,1644.9,297,1.0,0.0,$5K-10K
12427,1,174.3,21.79,2010-12-03 10:44:00,2010-12-03 10:44:00,8,1,0.03,30.44,663.21,2880.16,7958.54,2387.56,6,1.0,0.0,$5K-10K
12429,5,1469.59,28.26,2010-06-11 13:28:00,2010-12-09 12:05:00,52,180,5.91,0.85,23.9,103.78,286.76,86.03,0,0.0,286.76,$100-500
12431,10,3115.1,19.72,2010-01-15 09:04:00,2010-12-01 10:03:00,158,320,10.51,0.95,18.75,81.45,225.06,67.52,8,0.08,206.3,$100-500
12433,5,4775.53,20.32,2010-08-20 09:23:00,2010-12-08 16:49:00,235,110,3.61,1.38,28.12,122.11,337.41,101.22,1,0.02,332.3,$100-500
12434,1,297.29,14.86,2010-11-23 13:38:00,2010-11-23 13:38:00,20,1,0.03,30.44,452.48,1964.99,5429.7,1628.91,16,1.0,0.0,$5K-10K
12435,3,1072.68,28.23,2010-03-12 14:50:00,2010-11-08 10:07:00,38,240,7.88,0.38,10.74,46.65,128.89,38.67,31,0.13,112.24,$100-500
12437,20,6858.09,19.71,2009-12-02 16:24:00,2010-11-09 14:46:00,348,341,11.2,1.79,35.18,152.79,422.21,126.66,30,0.59,174.58,$100-500
12439,2,1142.88,16.1,2009-12-14 08:40:00,2010-01-26 12:11:00,71,43,1.41,1.42,22.79,98.97,273.48,82.04,317,1.0,0.0,$100-500
12440,2,715.6,23.85,2009-12-22 12:03:00,2010-09-03 13:11:00,30,255,8.38,0.24,5.69,24.73,68.34,20.5,97,0.25,51.01,$0-100
12441,1,173.55,15.78,2010-12-08 10:45:00,2010-12-08 10:45:00,11,1,0.03,30.44,480.26,2085.65,5763.12,1728.94,1,0.33,3842.08,$5K-10K
12443,1,365.31,18.27,2009-12-07 15:42:00,2009-12-07 15:42:00,20,1,0.03,30.44,556.0,2414.57,6672.02,2001.61,367,1.0,0.0,$5K-10K
12445,1,301.58,15.08,2010-10-15 12:28:00,2010-10-15 12:28:00,20,1,0.03,30.44,459.0,1993.34,5508.06,1652.42,55,1.0,0.0,$5K-10K
12449,1,61.2,30.6,2010-09-27 09:37:00,2010-09-27 09:37:00,2,1,0.03,30.44,931.46,4045.11,11177.57,3353.27,73,1.0,0.0,$10K+
12450,3,490.32,16.91,2010-08-22 13:11:00,2010-11-05 16:27:00,29,75,2.46,1.22,20.59,89.4,247.04,74.11,34,0.45,135.05,$100-500
12451,3,2968.72,20.76,2010-06-28 12:58:00,2010-09-02 15:38:00,143,66,2.17,1.38,28.72,124.74,344.7,103.41,98,1.0,0.0,$100-500
12455,4,2276.99,17.65,2009-12-18 12:33:00,2010-09-20 14:39:00,129,276,9.07,0.44,7.79,33.82,93.44,28.03,80,0.39,57.33,$0-100
12457,1,355.3,19.74,2010-09-30 17:59:00,2010-09-30 17:59:00,18,1,0.03,30.44,600.85,2609.35,7210.22,2163.07,70,1.0,0.0,$5K-10K
12458,2,750.09,16.67,2010-08-09 10:33:00,2010-10-08 11:36:00,45,60,1.97,1.01,16.91,73.45,202.96,60.89,62,0.69,63.14,$100-500
12459,1,378.2,18.01,2010-04-13 14:53:00,2010-04-13 14:53:00,21,1,0.03,30.44,548.21,2380.74,6578.52,1973.56,240,1.0,0.0,$5K-10K
12460,1,326.65,18.15,2010-09-09 13:51:00,2010-09-09 13:51:00,18,1,0.03,30.44,552.4,2398.94,6628.82,1988.65,91,1.0,0.0,$5K-10K
12467,1,132.8,14.76,2010-10-12 15:41:00,2010-10-12 15:41:00,9,1,0.03,30.44,449.16,1950.58,5389.91,1616.97,58,1.0,0.0,$5K-10K
12468,3,1597.44,17.18,2010-01-26 10:09:00,2010-07-01 10:28:00,93,156,5.12,0.59,10.06,43.67,120.66,36.2,161,1.0,0.0,$100-500
12469,1,1113.7,16.87,2010-07-05 12:40:00,2010-07-05 12:40:00,66,1,0.03,30.44,513.65,2230.66,6163.82,1849.15,157,1.0,0.0,$5K-10K
12470,1,211.95,9.22,2010-01-19 11:01:00,2010-01-19 11:01:00,23,1,0.03,30.44,280.51,1218.19,3366.13,1009.84,324,1.0,0.0,$1K-5K
12471,47,13258.49,21.59,2009-12-07 10:41:00,2010-11-30 14:35:00,614,358,11.76,4.0,86.29,374.76,1035.54,310.66,9,0.39,627.69,$1K-5K
12472,13,10197.22,18.41,2009-12-14 10:49:00,2010-12-05 14:19:00,554,356,11.7,1.11,20.46,88.85,245.52,73.66,4,0.05,233.57,$100-500
12474,13,4811.64,17.12,2010-02-11 09:41:00,2010-11-26 12:19:00,281,288,9.46,1.37,23.53,102.18,282.33,84.7,13,0.2,227.11,$100-500
12475,1,426.26,17.05,2010-10-26 08:49:00,2010-10-26 08:49:00,25,1,0.03,30.44,519.01,2253.95,6228.17,1868.45,44,1.0,0.0,$5K-10K
12476,8,5248.35,20.74,2010-07-26 09:04:00,2010-11-07 15:34:00,253,104,3.42,2.34,48.57,210.94,582.89,174.87,32,0.82,104.62,$500-1K
12477,3,5018.73,20.57,2010-03-26 14:01:00,2010-11-05 09:35:00,244,223,7.33,0.41,8.42,36.58,101.08,30.32,34,0.15,85.66,$100-500
12480,3,1607.22,19.13,2010-07-20 13:21:00,2010-11-05 15:08:00,84,108,3.55,0.85,16.18,70.26,194.14,58.24,34,0.31,133.02,$100-500
12481,5,3094.2,24.36,2010-04-11 13:10:00,2010-12-09 10:13:00,127,241,7.92,0.63,15.39,66.82,184.64,55.39,0,0.0,184.64,$100-500
12482,8,495.32,35.38,2010-02-24 10:43:00,2010-04-18 12:44:00,14,53,1.74,4.59,162.56,705.96,1950.73,585.22,235,1.0,0.0,$1K-5K
12483,10,1515.0,30.3,2010-01-31 13:28:00,2010-11-26 12:35:00,50,298,9.79,1.02,30.95,134.41,371.41,111.42,13,0.15,317.4,$100-500
12484,5,1393.5,11.24,2010-01-27 16:41:00,2010-08-13 13:45:00,124,197,6.47,0.77,8.68,37.7,104.19,31.26,118,1.0,0.18,$100-500
12485,1,631.9,19.15,2010-06-28 15:22:00,2010-06-28 15:22:00,33,1,0.03,30.44,582.88,2531.3,6994.56,2098.37,164,1.0,0.0,$5K-10K
12486,1,876.0,19.04,2010-10-04 12:14:00,2010-10-04 12:14:00,46,1,0.03,30.44,579.68,2517.42,6956.2,2086.86,66,1.0,0.0,$5K-10K
12490,11,4069.23,19.47,2009-12-01 12:52:00,2010-11-26 14:16:00,209,360,11.83,0.93,18.11,78.64,217.31,65.19,13,0.13,188.54,$100-500
12492,1,380.0,18.1,2010-11-01 14:58:00,2010-11-01 14:58:00,21,1,0.03,30.44,550.82,2392.07,6609.83,1982.95,38,1.0,0.0,$5K-10K
12494,3,612.85,18.57,2010-05-12 13:52:00,2010-12-09 11:31:00,33,210,6.9,0.43,8.08,35.07,96.91,29.07,0,0.0,96.91,$0-100
12495,1,277.4,17.34,2010-03-09 10:53:00,2010-03-09 10:53:00,16,1,0.03,30.44,527.75,2291.9,6333.04,1899.91,275,1.0,0.0,$5K-10K
12496,2,45.34,4.53,2010-03-29 13:57:00,2010-03-29 14:06:00,10,1,0.03,60.88,276.03,1198.73,3312.36,993.71,255,1.0,0.0,$1K-5K
12497,1,150.24,30.05,2010-03-05 09:39:00,2010-03-05 09:39:00,5,1,0.03,30.44,914.66,3972.14,10975.93,3292.78,279,1.0,0.0,$10K+
12499,1,373.56,14.37,2010-05-28 15:12:00,2010-05-28 15:12:00,26,1,0.03,30.44,437.35,1899.31,5248.23,1574.47,195,1.0,0.0,$5K-10K
12500,7,1017.44,13.21,2010-02-04 15:05:00,2010-09-30 18:45:00,77,238,7.82,0.9,11.83,51.37,141.96,42.59,70,0.69,44.54,$100-500
12504,2,165.0,20.62,2010-04-22 10:24:00,2010-10-18 15:09:00,8,179,5.88,0.34,7.01,30.46,84.18,25.25,52,0.19,67.88,$0-100
12505,1,787.2,19.2,2010-10-27 09:18:00,2010-10-27 09:18:00,41,1,0.03,30.44,584.45,2538.11,7013.38,2104.01,43,1.0,0.0,$5K-10K
12507,1,455.25,16.86,2010-05-04 09:23:00,2010-05-04 09:23:00,27,1,0.03,30.44,513.25,2228.92,6159.03,1847.71,219,1.0,0.0,$5K-10K
12510,5,1612.58,17.16,2009-12-04 13:47:00,2010-09-06 14:27:00,94,276,9.07,0.55,9.46,41.08,113.52,34.06,94,0.57,49.08,$100-500
12511,1,2956.82,15.81,2010-10-07 10:39:00,2010-10-07 10:39:00,187,1,0.03,30.44,481.31,2090.22,5775.76,1732.73,63,1.0,0.0,$5K-10K
12514,1,478.2,14.94,2010-03-08 12:18:00,2010-03-08 12:18:00,32,1,0.03,30.44,454.89,1975.46,5458.65,1637.6,276,1.0,0.0,$5K-10K
12516,2,906.6,22.66,2010-04-19 14:14:00,2010-10-05 09:43:00,40,168,5.52,0.36,8.21,35.67,98.56,29.57,65,0.26,73.14,$0-100
12519,1,371.78,17.7,2010-08-20 08:21:00,2010-08-20 08:21:00,21,1,0.03,30.44,538.9,2340.32,6466.85,1940.05,111,1.0,0.0,$5K-10K
12523,12,2437.66,17.41,2009-12-07 13:46:00,2010-11-30 12:31:00,140,357,11.73,1.02,17.82,77.37,213.79,64.14,9,0.1,192.23,$100-500
12524,5,1334.81,26.17,2010-02-08 14:41:00,2010-10-26 13:15:00,51,259,8.51,0.59,15.38,66.79,184.56,55.37,44,0.28,132.31,$100-500
12525,3,883.73,14.98,2010-03-02 14:01:00,2010-07-29 16:08:00,59,149,4.89,0.61,9.18,39.87,110.16,33.05,133,0.89,11.83,$100-500
12527,1,181.8,16.53,2010-06-28 15:37:00,2010-06-28 15:37:00,11,1,0.03,30.44,503.09,2184.79,6037.08,1811.12,164,1.0,0.0,$5K-10K
12529,1,316.48,15.07,2010-06-29 13:10:00,2010-06-29 13:10:00,21,1,0.03,30.44,458.75,1992.21,5504.94,1651.48,163,1.0,0.0,$5K-10K
12530,5,1517.72,18.51,2010-03-07 14:37:00,2010-10-20 15:15:00,82,227,7.46,0.67,12.41,53.89,148.92,44.68,50,0.37,94.25,$100-500
12531,1,1645.98,15.1,2010-01-22 14:17:00,2010-01-22 14:17:00,109,1,0.03,30.44,459.67,1996.21,5516.0,1654.8,321,1.0,0.0,$5K-10K
12533,2,1259.89,17.74,2009-12-01 11:50:00,2010-03-22 10:56:00,71,110,3.61,0.55,9.82,42.65,117.85,35.36,262,1.0,0.0,$100-500
12537,1,612.94,14.59,2010-10-27 08:36:00,2010-10-27 08:36:00,42,1,0.03,30.44,444.24,1929.2,5330.83,1599.25,43,1.0,0.0,$5K-10K
12538,1,276.5,21.27,2010-11-26 13:02:00,2010-11-26 13:02:00,13,1,0.03,30.44,647.44,2811.65,7769.22,2330.77,13,1.0,0.0,$5K-10K
12539,3,4317.8,20.27,2009-12-23 13:00:00,2010-09-15 09:50:00,213,265,8.71,0.34,6.99,30.34,83.83,25.15,85,0.32,56.94,$0-100
12540,15,5624.93,22.23,2009-12-07 16:56:00,2010-11-26 10:43:00,253,353,11.6,1.29,28.76,124.89,345.1,103.53,13,0.18,281.55,$100-500
12542,2,441.56,11.93,2010-03-09 16:26:00,2010-08-12 19:12:00,37,156,5.12,0.39,4.66,20.23,55.89,16.77,119,0.51,27.47,$0-100
12543,1,695.05,17.82,2010-09-17 15:51:00,2010-09-17 15:51:00,39,1,0.03,30.44,542.5,2355.92,6509.95,1952.98,83,1.0,0.0,$5K-10K
12547,1,175.78,13.52,2010-07-27 13:55:00,2010-07-27 13:55:00,13,1,0.03,30.44,411.6,1787.46,4939.15,1481.74,135,1.0,0.0,$1K-5K
12549,5,944.72,23.62,2010-01-11 12:29:00,2010-05-13 12:05:00,40,121,3.98,1.26,29.71,129.01,356.5,106.95,210,1.0,0.0,$100-500
12553,2,856.57,18.62,2010-10-12 13:35:00,2010-11-19 12:18:00,46,37,1.22,1.65,30.64,133.06,367.67,110.3,20,0.36,235.18,$100-500
12554,1,384.5,15.38,2010-09-17 12:29:00,2010-09-17 12:29:00,25,1,0.03,30.44,468.17,2033.13,5618.01,1685.4,83,1.0,0.0,$5K-10K
12557,1,491.34,44.67,2010-10-03 10:50:00,2010-10-03 10:50:00,11,1,0.03,30.44,1359.67,5904.71,16316.06,4894.82,67,1.0,0.0,$10K+
12562,2,684.5,20.13,2010-09-30 13:13:00,2010-11-19 09:35:00,34,49,1.61,1.24,25.01,108.63,300.16,90.05,20,0.27,218.48,$100-500
12563,1,249.24,19.17,2010-10-27 09:52:00,2010-10-27 09:52:00,13,1,0.03,30.44,583.61,2534.45,7003.26,2100.98,43,1.0,0.0,$5K-10K
12567,7,3535.98,19.11,2010-02-11 10:30:00,2010-12-07 10:36:00,185,299,9.82,0.71,13.62,59.15,163.45,49.04,2,0.02,160.9,$100-500
12568,1,70.0,14.0,2010-03-05 09:15:00,2010-03-05 09:15:00,5,1,0.03,30.44,426.16,1850.7,5113.92,1534.18,279,1.0,0.0,$5K-10K
12573,4,496.03,5.51,2010-08-31 17:25:00,2010-11-23 13:01:00,90,83,2.73,1.47,8.09,35.11,97.02,29.11,16,0.26,72.09,$0-100
12575,2,622.82,16.39,2010-07-01 09:15:00,2010-09-08 13:09:00,38,69,2.27,0.88,14.46,62.8,173.53,52.06,92,0.89,19.28,$100-500
12576,3,746.89,14.09,2010-07-01 13:46:00,2010-11-12 12:44:00,53,133,4.37,0.69,9.68,42.02,116.11,34.83,27,0.2,92.54,$100-500
12577,5,908.9,6.06,2009-12-03 19:31:00,2010-11-23 14:06:00,150,354,11.63,0.43,2.61,11.31,31.26,9.38,16,0.08,28.91,$0-100
12578,2,1175.74,23.51,2010-09-22 11:19:00,2010-11-19 17:21:00,50,58,1.91,1.05,24.68,107.19,296.19,88.86,20,0.23,228.1,$100-500
12580,1,637.2,18.74,2010-05-12 11:45:00,2010-05-12 11:45:00,34,1,0.03,30.44,570.48,2477.46,6845.78,2053.73,211,1.0,0.0,$5K-10K
12582,2,1289.64,16.32,2010-05-11 09:55:00,2010-10-13 10:52:00,79,155,5.09,0.39,6.41,27.85,76.94,23.08,57,0.25,58.08,$0-100
12583,13,5067.29,27.1,2009-12-06 11:57:00,2010-12-01 08:45:00,187,359,11.79,1.1,29.87,129.72,358.43,107.53,8,0.1,323.82,$100-500
12586,3,1567.43,19.59,2009-12-16 13:15:00,2010-11-30 10:47:00,80,348,11.43,0.26,5.14,22.33,61.7,18.51,9,0.03,60.1,$0-100
12588,3,583.88,17.17,2010-04-21 12:22:00,2010-11-05 12:53:00,34,198,6.5,0.46,7.92,34.4,95.04,28.51,34,0.17,78.72,$0-100
12589,4,2521.93,18.27,2010-01-19 12:26:00,2010-10-14 11:54:00,138,267,8.77,0.46,8.33,36.19,100.01,30.0,56,0.28,72.04,$100-500
12591,2,702.7,17.57,2010-10-27 10:42:00,2010-11-14 14:32:00,40,18,0.59,3.38,59.42,258.03,713.01,213.9,25,0.93,52.82,$500-1K
12592,2,618.84,15.47,2010-07-08 14:06:00,2010-07-08 14:26:00,40,1,0.03,60.88,941.87,4090.32,11302.49,3390.75,154,1.0,0.0,$10K+
12594,5,1476.49,19.18,2010-03-03 13:51:00,2010-11-26 12:17:00,77,267,8.77,0.57,10.93,47.47,131.17,39.35,13,0.08,120.52,$100-500
12595,1,258.7,15.22,2010-07-23 09:10:00,2010-07-23 09:10:00,17,1,0.03,30.44,463.23,2011.67,5558.7,1667.61,139,1.0,0.0,$5K-10K
12598,3,1232.01,18.39,2010-03-01 09:58:00,2010-09-02 14:22:00,67,185,6.08,0.49,9.08,39.42,108.92,32.68,98,0.53,51.22,$100-500
12599,6,1129.68,17.12,2010-05-11 10:42:00,2010-11-23 15:49:00,66,196,6.44,0.93,15.95,69.27,191.4,57.42,16,0.16,160.15,$100-500
12600,12,1383.33,25.62,2009-12-07 13:37:00,2010-12-03 12:57:00,54,360,11.83,1.01,25.99,112.88,311.92,93.57,6,0.07,291.12,$100-500
12601,1,104.2,17.37,2010-10-31 10:57:00,2010-10-31 10:57:00,6,1,0.03,30.44,528.64,2295.76,6343.7,1903.11,39,1.0,0.0,$5K-10K
12605,4,1232.95,16.22,2010-09-07 14:21:00,2010-11-28 14:18:00,76,81,2.66,1.5,24.39,105.9,292.64,87.79,11,0.18,239.65,$100-500
12606,1,21.0,21.0,2010-01-26 16:23:00,2010-01-26 16:23:00,1,1,0.03,30.44,639.24,2776.06,7670.88,2301.26,317,1.0,0.0,$5K-10K
12608,1,95.05,8.64,2010-10-31 10:49:00,2010-10-31 10:49:00,11,1,0.03,30.44,263.03,1142.27,3156.35,946.91,39,1.0,0.0,$1K-5K
12609,6,2249.61,19.73,2009-12-20 13:30:00,2010-11-30 14:48:00,114,345,11.33,0.53,10.45,45.37,125.36,37.61,9,0.05,118.82,$100-500
12613,5,3066.91,18.48,2009-12-14 13:10:00,2010-11-16 17:17:00,166,337,11.07,0.45,8.34,36.24,100.13,30.04,23,0.11,88.74,$100-500
12615,4,3188.67,19.93,2010-03-18 14:09:00,2010-10-22 09:45:00,160,217,7.13,0.56,11.18,48.56,134.19,40.26,48,0.29,94.61,$100-500
12616,1,417.8,18.99,2010-11-16 11:38:00,2010-11-16 11:38:00,22,1,0.03,30.44,578.08,2510.47,6937.0,2081.1,23,1.0,0.0,$5K-10K
12619,1,140.14,14.01,2010-05-28 12:52:00,2010-05-28 12:52:00,10,1,0.03,30.44,426.59,1852.56,5119.03,1535.71,195,1.0,0.0,$5K-10K
12621,16,5358.18,21.35,2010-02-09 12:01:00,2010-12-09 10:16:00,251,302,9.92,1.61,34.43,149.51,413.13,123.94,0,0.0,413.13,$100-500
